id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,TransactionDate,Hour,DayOfWeek,DayOfMonth,Month,WeekOfYear,CustomerID,Cluster,Cluster_Name,RFM_Segment,RFM_Score,ZScore,ZScore_Anomaly_2.5,ZScore_Anomaly_3,ZScore_Anomaly_3.5,ZScore_Anomaly_4,ZScore_Anomaly,Isolation_Anomaly_0.001,Isolation_Score_0.001,Isolation_Anomaly_0.002,Isolation_Score_0.002,Isolation_Anomaly_0.005,Isolation_Score_0.005,Isolation_Anomaly_0.01,Isolation_Score_0.01,Isolation_Anomaly_0.02,Isolation_Score_0.02,Isolation_Anomaly,Isolation_Score,ZScore_Normalized,Isolation_Score_Normalized,Combined_Score,Combined_Anomaly_0.1,Combined_Anomaly_0.2,Combined_Anomaly_0.3,Combined_Anomaly_0.4,Combined_Anomaly_0.5,Combined_Anomaly_0.6,Combined_Anomaly_0.7,Combined_Anomaly_0.8,Final_Anomaly,Risk_Score,Risk_Level
8610,-2.51387217129886,-20.936273803535684,2.1864732406286813,2.08919308690882,41.540257041410015,-18.64259847523372,-3.0387278420456165,-0.3214379100530373,8.18339182974408,5.929236734552453,0.015661617045498,0.9173803829675756,2.901825283599435,1.1832157792797249,3.822913420864925,0.4334215690671105,0.9810754223563096,-0.5878675202150203,3.143019747819456,-16.188453231624884,-2.233393118558169,-1.4127900601399324,-9.27741513786252,5.377506586692283,-3.745031169137818,3.2580783754532034,17.987212099551613,-8.758956034336984,16802.28,0,2024-03-05 20:08:00,20,1,5,3,10,114345,2,Standard Customers (High Tier),Potential,9,20.936273803535684,True,True,True,True,True,True,0.037397767568226215,True,0.05531383683427704,True,0.0899549184171986,True,0.099372847954316,True,0.13070091377824355,True,0.13070091377824355,0.09485152149546801,0.9603732444569643,0.6141645552723658,True,True,True,True,True,True,False,False,True,0.6152088907883863,High
12851,-2.021307394992114,-15.016940072229898,2.369441249143853,1.2919687105561102,26.27470840510497,-12.015046349030706,-2.157477768855321,0.3740234753031676,2.647482712932007,1.6791817853092827,0.4690300508741308,0.7676874565553911,2.7162011511442463,3.36998826891063,1.3259528518325292,-0.12915929032794,1.0102257688658751,0.558439870189311,0.104025168474431,5.8454639759220415,0.682561675916421,-0.9110861420527308,5.7709662672282125,-0.5917921370830341,0.4942940857744698,2.007120058830961,-1.2211710183913354,0.8897501646163339,19852.0,0,2024-02-12 21:10:00,21,0,12,2,7,141798,5,New Customers (Mid Tier),Loyal,12,15.016940072229898,True,True,True,True,True,True,0.017688483451581805,True,0.03560455271763263,True,0.0702456343005542,True,0.07966356383767159,True,0.11099162966159914,True,0.11099162966159914,0.0676454488781977,0.9043698911813588,0.5696801142600944,True,True,True,True,True,False,False,False,True,0.6058237399173041,High
39769,-3.495583516386668,-49.96657153869079,-0.8604758393640916,3.1396565714814213,42.716890639914205,-21.11110792759147,-2.386712041039331,-0.469005502470069,7.502572165578162,9.352984258832755,0.627759307113424,2.475554328474037,3.826358289747248,-0.1450261638781116,8.740692645844153,5.269673079316163,-0.0381465540636152,0.4597831891366159,1.9358212688140592,-15.547907694700047,-3.0418168988914864,-1.1293649352343675,9.83334241019008,1.6696459034480904,10.117761074399567,0.3785347718798731,-5.444554553207013,77.25593674214326,22351.02,0,2024-02-24 18:50:00,18,5,24,2,8,127856,4,New Customers (Low Tier),Needs Attention,7,49.96657153869079,True,True,True,True,True,True,0.03345952272933028,True,0.05137559199538111,True,0.08601667357830267,True,0.09543460311542007,True,0.12676266893934762,True,0.12676266893934762,0.22827876586700308,0.9491828371497674,0.6608212086366616,True,True,True,True,True,True,False,False,True,0.7020520086103551,High
50287,-2.737354382168408,-24.641313572603384,-0.0060589844871398,2.141365548494163,32.92194739321388,-15.459584812671002,-2.355841006655844,-0.5660864721802136,5.117988367346384,4.184970810652586,0.2887917680640811,4.834754445381292,1.857146578616552,0.6428762063471356,4.043705817043132,4.516664266805114,-0.0319489117048658,-0.38073360267329,0.6769967750373865,-20.264268849300805,-2.5542826038288493,-1.47083895174041,-9.882245644111457,4.99398807169001,-1.874674737269377,0.3627871097381527,24.906659579469608,-10.305129348933155,21810.88,0,2024-03-09 01:44:00,1,5,9,3,10,135961,0,Premium Customers (High Tier),Champions,14,24.641313572603384,True,True,True,True,True,True,0.03737430531613095,True,0.05529037458218178,True,0.08993145616510334,True,0.09934938570222074,True,0.1306774515261483,True,0.1306774515261483,0.1118803942677579,0.9603065771551508,0.6209361040001936,True,True,True,True,True,True,False,False,True,0.6630547466147316,High
52805,-2.0394994325736384,-14.739596561930494,1.86729031167012,1.0839629823832746,26.702921364256444,-11.97153034226134,-2.099889738128501,0.4268018951712131,1.8880784284651888,1.2930427964542155,-2.643611628205976,1.4555133527278128,-0.3245077862494214,1.6845422681571238,0.8113582754608523,0.2033812664380101,0.4290005994267882,0.5356469708103356,-0.4702756158005808,5.542741297087452,0.6339532410633201,-1.534914454113193,5.043089882773216,-2.22703641833403,3.2516397180293413,1.1615330218946345,-1.1654490783579976,1.1666485351692728,23478.52,0,2024-03-10 06:03:00,6,6,10,3,10,122065,1,Standard Customers (Mid Tier),At Risk,5,14.739596561930494,True,True,True,True,True,True,0.005119642875495822,True,0.02303571214154665,True,0.05767679372446821,True,0.06709472326158561,True,0.09842278908551316,True,0.09842278908551316,0.06637073992890692,0.8686558989895841,0.5477418353653132,True,True,True,True,True,False,False,False,True,0.6194351447291594,High
65423,-1.8244811522184112,2.600789184357039,-1.0046920268862685,-0.4034959580259751,-1.4474228629074386,7.54039294735817,-3.4705119861374807,-10.75634230545734,-1.916316731726457,-2.1112067715379657,-3.53206185064045,17.913556111364983,-5.955226700040189,19.169544406102982,-3.569638745981077,8.322451122752712,1.9566740437781944,1.6932680802041131,-4.507603069038601,13.650324693652836,-19.382523087206284,12.63251122579015,4.970136010210761,-2.232241491110276,-1.2244891121345391,0.3132288825331747,-0.6559407349306029,2.1607067839010035,18453.71,0,2024-01-14 11:53:00,11,6,14,1,2,123291,2,Standard Customers (High Tier),Potential,10,19.169544406102986,True,True,True,True,True,True,0.037044739598122045,True,0.05496080886417287,True,0.08960189044709443,True,0.09901981998421183,True,0.13034788580813939,True,0.13034788580813939,0.08673138999698311,0.9593701258247043,0.6103146314936159,True,True,True,True,True,True,False,False,True,0.6258633932354771,High
108424,-2.752536176428844,-23.64915773806419,-0.8453080976370864,2.498661474500436,11.115380219968738,-6.583221052217197,-1.3808746868660768,-0.9762975202490932,6.156944544989613,2.2769544355570748,-1.2332782006461422,4.175239398091302,2.8365004572141284,0.3082434343931692,4.020527225804365,4.242508885050174,0.4376239945339427,-0.5316595189016464,2.105487812659112,-20.312728558056705,-1.969332072921885,-2.918109489098071,-16.62497910432338,5.033105744623512,-5.312678438997886,-0.0241323972005973,20.81567806364541,-14.87251147859303,23293.58,0,2024-01-01 17:38:00,17,0,1,1,1,113715,2,Standard Customers (High Tier),Potential,10,23.64915773806419,True,True,True,True,True,True,0.04027282913205976,True,0.05818889839811059,True,0.09282997998103215,True,0.10224790951814955,True,0.1335759753420771,True,0.1335759753420771,0.10732030948332266,0.9685426476425681,0.62405371237887,True,True,True,True,True,True,False,False,True,0.6777518726067899,High
138215,-1.5252877077863864,1.8629573976165223,-0.6444995476546226,-0.4882610576753279,-0.81040505738266,5.470645316467891,-2.62671011233348,-7.869677462591528,-1.8616985096918883,-1.2960710020996158,-3.8172131586649134,6.86826266202379,-3.062371071905457,11.253236240328048,0.020343529474791,2.0197356135501856,1.532082848018016,2.912301426124244,-3.592999379997021,9.242003725828106,-12.093765906675122,8.285837955808997,3.817192434960816,-2.595724800140021,-1.5383580243554993,-0.6704892839116082,-0.6048941518327635,0.9652028586628544,22352.03,0,2024-02-27 16:31:00,16,1,27,2,9,127290,1,Standard Customers (Mid Tier),Needs Attention,7,11.25323624032805,True,True,True,True,True,True,0.02958515070462986,True,0.047501219970680686,True,0.08214230155360225,True,0.09156023109071965,True,0.1228882969146472,True,0.1228882969146472,0.05034694799809408,0.9381739225724396,0.5830431327427014,True,True,True,True,True,False,False,False,True,0.6364995767464784,High
151296,-2.7967785295597887,-40.19496492929275,-2.0248607126128846,3.201535546069201,-2.9832057937771097,3.47249634010283,23.884874525874924,-1.1170685852321067,0.6122461652946575,-1.3361541414226188,-0.6587435167737854,-0.2439206404934514,3.8329468335527888,8.563009130190336,3.4248235385151764,3.830997212931477,0.6351616626910878,6.210963503290548,-7.486279921801464,28.973252100368647,3.66165513401427,-6.838888279914088,-12.620152885976369,1.6152979128459914,-9.719067403321828,-8.226969338778424,-3.000339449398492,7.613798991523393,20723.74,0,2024-01-23 12:06:00,12,1,23,1,4,118277,5,New Customers (Mid Tier),Loyal,11,40.19496492929275,True,True,True,True,True,True,0.025301777611905996,True,0.04321784687795682,True,0.07785892846087838,True,0.08727685799799578,True,0.11860492382192334,True,0.11860492382192334,0.18336711684193,0.9260028434452958,0.6289485528039496,True,True,True,True,True,True,False,False,True,0.6624453988613721,High
172749,-2.097411532201246,0.6014664553276083,-1.4055115319508824,-1.5144573045818,-2.2930223081917545,0.0477314201163287,-0.9289704821132372,2.775710804709356,-0.0657680652215759,1.604528190335376,-4.955669880481854,4.536622408174185,2.8548102748123307,7.410556120065394,0.5779270300049869,5.536173045131422,2.2928456985324432,1.4706607687517148,-2.474142691203152,-0.4580936871711271,-0.1031415071454958,-1.0597515517146934,-2.813764511432104,0.289188015319829,2.2128208488999794,-0.2592336843741962,-0.4311311758463526,-1.1544845591585593,22353.55,0,2024-03-10 21:57:00,21,6,10,3,10,107961,0,Premium Customers (High Tier),Champions,14,7.4105561200653955,True,True,True,True,True,True,0.006758673063014586,True,0.024674742329065413,True,0.059315823911986976,True,0.06873375344910437,True,0.10006181927303193,True,0.10006181927303193,0.03268546122570617,0.8733131552388599,0.5370620776335984,True,True,True,True,True,False,False,False,True,0.6006714906605459,High
