CustomerID,Recency,Frequency,Monetary,HVC_Criteria,RFM_Segment,RFM_Score
100000,6,6,95882.51,Recent High Value,At Risk,5
100001,1,17,170195.53,Top 10% Frequency,Champions,14
100002,7,11,119777.65,Recent High Value,Needs Attention,8
100003,1,21,233936.43,Top 5% Monetary,Champions,15
100004,20,11,104399.69,Recent High Value,At Risk,6
100005,16,15,187130.61,Recent High Value,Loyal,11
100006,8,10,116271.2,Recent High Value,Needs Attention,7
100007,17,8,92703.87,Recent High Value,At Risk,3
100008,7,9,115638.47,Recent High Value,Needs Attention,7
100009,12,12,154786.37,Recent High Value,Potential,9
100010,1,20,242399.6,Top 5% Monetary,Champions,15
100011,2,10,142808.2,Recent High Value,Potential,10
100012,1,6,49698.15,Recent High Value,Needs Attention,7
100013,21,11,97333.75,Recent High Value,At Risk,6
100014,5,18,197810.23,Top 10% Frequency,Champions,14
100015,5,15,187733.89,Recent High Value,Champions,14
100016,3,10,114330.35,Recent High Value,Needs Attention,8
100017,7,9,106187.88,Recent High Value,Needs Attention,7
100018,24,8,81064.16,Recent High Value,At Risk,3
100019,3,13,172825.77000000002,Recent High Value,Loyal,12
100020,6,13,198221.44,Recent High Value,Loyal,12
100021,3,13,123587.84,Recent High Value,Loyal,11
100022,2,11,92760.56,Recent High Value,Potential,9
100023,5,11,129080.51,Recent High Value,Potential,10
100024,28,9,96533.69,Recent High Value,At Risk,4
100025,3,11,102689.32,Recent High Value,Potential,9
100026,1,11,161937.97,Recent High Value,Loyal,12
100027,8,6,70229.85,Recent High Value,At Risk,5
100028,3,17,212816.68,Top 10% Frequency,Champions,14
100029,1,11,118976.02,Recent High Value,Potential,10
100030,27,13,183336.07,Recent High Value,Potential,10
100031,15,9,133797.75,Recent High Value,At Risk,6
100032,4,9,89004.16,Recent High Value,Needs Attention,7
100033,2,7,91380.07,Recent High Value,Needs Attention,7
100034,1,10,143222.82,Recent High Value,Potential,10
100035,24,12,156592.54,Recent High Value,Needs Attention,8
100036,2,12,130680.34,Recent High Value,Loyal,11
100037,6,15,160723.05,Recent High Value,Loyal,12
100038,21,12,141621.25,Recent High Value,Needs Attention,7
100039,11,8,87707.47,Recent High Value,At Risk,4
100040,6,18,209818.11,Top 10% Frequency,Champions,13
100041,9,13,153008.94,Recent High Value,Potential,10
100042,19,12,128773.53,Recent High Value,Needs Attention,7
100043,2,13,159602.05,Recent High Value,Champions,13
100045,4,14,178023.17,Recent High Value,Champions,13
100046,19,10,151289.34,Recent High Value,Needs Attention,7
100048,3,12,194949.04,Recent High Value,Loyal,12
100049,4,11,157922.94,Recent High Value,Loyal,11
100050,20,8,105628.49,Recent High Value,At Risk,4
100051,3,12,109141.98,Recent High Value,Potential,9
100052,5,12,136715.27,Recent High Value,Potential,10
100053,22,8,68794.26000000001,Recent High Value,At Risk,3
100054,10,6,86698.66,Recent High Value,At Risk,4
100055,3,15,196832.35,Recent High Value,Champions,14
100056,4,12,159077.09,Recent High Value,Loyal,11
100057,8,5,68926.32,Recent High Value,At Risk,5
100058,13,10,106959.33,Recent High Value,At Risk,6
100059,2,14,166267.09,Recent High Value,Champions,13
100060,10,10,111349.31,Recent High Value,At Risk,6
100061,4,16,209761.61,Top 10% Frequency,Champions,14
100062,8,9,112318.66,Recent High Value,Needs Attention,7
100063,1,14,146899.47,Recent High Value,Champions,13
100064,2,7,49301.12,Recent High Value,Needs Attention,7
100065,7,11,145866.53,Recent High Value,Potential,9
100066,20,17,145294.55000000002,Top 10% Frequency,Potential,9
100067,7,12,136878.99,Recent High Value,Potential,9
100068,4,15,149342.3,Recent High Value,Champions,13
100069,7,21,243419.86,Top 5% Monetary,Champions,13
100070,26,9,110869.52,Recent High Value,At Risk,5
100071,4,16,209799.58,Top 10% Frequency,Champions,14
100072,26,6,62003.7,Recent High Value,At Risk,3
100073,8,12,180271.0,Recent High Value,Loyal,11
100074,3,10,89866.76,Recent High Value,Needs Attention,7
100075,18,12,121562.92,Recent High Value,At Risk,6
100076,1,12,132003.13,Recent High Value,Loyal,11
100077,4,10,148929.65,Recent High Value,Potential,10
100078,5,13,210462.15,Recent High Value,Champions,13
100079,8,12,177221.33000000002,Recent High Value,Loyal,11
100080,27,10,150190.41,Recent High Value,Needs Attention,7
100081,5,7,64711.4,Recent High Value,At Risk,6
100083,4,6,66654.87,Recent High Value,At Risk,6
