CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_String,RFM_Segment
100000,6,6,95882.51,3,1,1,5,311,At Risk
100001,1,17,170195.53,5,5,4,14,554,Champions
100002,7,11,119777.65,3,3,2,8,332,Needs Attention
100003,1,21,233936.43,5,5,5,15,555,Champions
100004,20,11,104399.69,1,3,2,6,132,At Risk
100005,16,15,187130.61,1,5,5,11,155,Loyal
100006,8,10,116271.2,3,2,2,7,322,Needs Attention
100007,17,8,92703.87,1,1,1,3,111,At Risk
100008,7,9,115638.47,3,2,2,7,322,Needs Attention
100009,12,12,154786.37,2,3,4,9,234,Potential
100010,1,20,242399.6,5,5,5,15,555,Champions
100011,2,10,142808.2,5,2,3,10,523,Potential
100012,1,6,49698.15,5,1,1,7,511,Needs Attention
100013,21,11,97333.75,1,3,2,6,132,At Risk
100014,5,18,197810.23,4,5,5,14,455,Champions
100015,5,15,187733.89,4,5,5,14,455,Champions
100016,3,10,114330.35,4,2,2,8,422,Needs Attention
100017,7,9,106187.88,3,2,2,7,322,Needs Attention
100018,24,8,81064.16,1,1,1,3,111,At Risk
100019,3,13,172825.77000000002,4,4,4,12,444,Loyal
100020,6,13,198221.44,3,4,5,12,345,Loyal
100021,3,13,123587.84,4,4,3,11,443,Loyal
100022,2,11,92760.56,5,3,1,9,531,Potential
100023,5,11,129080.51,4,3,3,10,433,Potential
100024,28,9,96533.69,1,2,1,4,121,At Risk
100025,3,11,102689.32,4,3,2,9,432,Potential
100026,1,11,161937.97,5,3,4,12,534,Loyal
100027,8,6,70229.85,3,1,1,5,311,At Risk
100028,3,17,212816.68,4,5,5,14,455,Champions
100029,1,11,118976.02,5,3,2,10,532,Potential
100030,27,13,183336.07,1,4,5,10,145,Potential
100031,15,9,133797.75,1,2,3,6,123,At Risk
100032,4,9,89004.16,4,2,1,7,421,Needs Attention
100033,2,7,91380.07,5,1,1,7,511,Needs Attention
100034,1,10,143222.82,5,2,3,10,523,Potential
100035,24,12,156592.54,1,3,4,8,134,Needs Attention
100036,2,12,130680.34,5,3,3,11,533,Loyal
100037,6,15,160723.05,3,5,4,12,354,Loyal
100038,21,12,141621.25,1,3,3,7,133,Needs Attention
100039,11,8,87707.47,2,1,1,4,211,At Risk
100040,6,18,209818.11,3,5,5,13,355,Champions
100041,9,13,153008.94,2,4,4,10,244,Potential
100042,19,12,128773.53,1,3,3,7,133,Needs Attention
100043,2,13,159602.05,5,4,4,13,544,Champions
100044,36,7,73498.39,1,1,1,3,111,At Risk
100045,4,14,178023.17,4,4,5,13,445,Champions
100046,19,10,151289.34,1,2,4,7,124,Needs Attention
100047,36,10,138111.98,1,2,3,6,123,At Risk
100048,3,12,194949.04,4,3,5,12,435,Loyal
100049,4,11,157922.94,4,3,4,11,434,Loyal
100050,20,8,105628.49,1,1,2,4,112,At Risk
100051,3,12,109141.98,4,3,2,9,432,Potential
100052,5,12,136715.27,4,3,3,10,433,Potential
100053,22,8,68794.26000000001,1,1,1,3,111,At Risk
100054,10,6,86698.66,2,1,1,4,211,At Risk
100055,3,15,196832.35,4,5,5,14,455,Champions
100056,4,12,159077.09,4,3,4,11,434,Loyal
100057,8,5,68926.32,3,1,1,5,311,At Risk
100058,13,10,106959.33,2,2,2,6,222,At Risk
100059,2,14,166267.09,5,4,4,13,544,Champions
100060,10,10,111349.31,2,2,2,6,222,At Risk
100061,4,16,209761.61,4,5,5,14,455,Champions
100062,8,9,112318.66,3,2,2,7,322,Needs Attention
100063,1,14,146899.47,5,4,4,13,544,Champions
100064,2,7,49301.12,5,1,1,7,511,Needs Attention
100065,7,11,145866.53,3,3,3,9,333,Potential
100066,20,17,145294.55000000002,1,5,3,9,153,Potential
100067,7,12,136878.99,3,3,3,9,333,Potential
100068,4,15,149342.3,4,5,4,13,454,Champions
100069,7,21,243419.86,3,5,5,13,355,Champions
100070,26,9,110869.52,1,2,2,5,122,At Risk
100071,4,16,209799.58,4,5,5,14,455,Champions
100072,26,6,62003.7,1,1,1,3,111,At Risk
100073,8,12,180271.0,3,3,5,11,335,Loyal
100074,3,10,89866.76,4,2,1,7,421,Needs Attention
100075,18,12,121562.92,1,3,2,6,132,At Risk
100076,1,12,132003.13,5,3,3,11,533,Loyal
100077,4,10,148929.65,4,2,4,10,424,Potential
100078,5,13,210462.15,4,4,5,13,445,Champions
100079,8,12,177221.33000000002,3,3,5,11,335,Loyal
100080,27,10,150190.41,1,2,4,7,124,Needs Attention
100081,5,7,64711.4,4,1,1,6,411,At Risk
100082,30,12,85959.51,1,3,1,5,131,At Risk
100083,4,6,66654.87,4,1,1,6,411,At Risk
100084,16,17,154516.35,1,5,4,10,154,Potential
100085,2,10,140629.45,5,2,3,10,523,Potential
100086,20,7,97347.21,1,1,2,4,112,At Risk
100087,15,6,81127.09,1,1,1,3,111,At Risk
100088,9,8,125764.9,2,1,3,6,213,At Risk
100089,1,18,253617.49,5,5,5,15,555,Champions
100090,18,12,164793.23,1,3,4,8,134,Needs Attention
100091,9,12,119692.25,2,3,2,7,232,Needs Attention
100092,10,10,150848.23,2,2,4,8,224,Needs Attention
100093,1,9,115639.8,5,2,2,9,522,Potential
100094,14,11,166591.07,1,3,4,8,134,Needs Attention
100095,8,13,160083.13,3,4,4,11,344,Loyal
100096,10,10,144276.53,2,2,3,7,223,Needs Attention
100097,1,11,137984.44,5,3,3,11,533,Loyal
100098,11,10,143726.07,2,2,3,7,223,Needs Attention
100099,2,10,121480.65,5,2,2,9,522,Potential
100100,3,12,134514.01,4,3,3,10,433,Potential
100101,27,6,97841.67,1,1,2,4,112,At Risk
100102,1,7,63432.37,5,1,1,7,511,Needs Attention
100103,11,9,105005.46,2,2,2,6,222,At Risk
100104,1,19,271728.01,5,5,5,15,555,Champions
100105,1,14,174447.81,5,4,4,13,544,Champions
100106,11,13,138878.56,2,4,3,9,243,Potential
100107,1,13,173118.16999999998,5,4,4,13,544,Champions
100108,13,12,206703.94,2,3,5,10,235,Potential
100109,3,19,241533.11,4,5,5,14,455,Champions
100110,9,10,133279.04,2,2,3,7,223,Needs Attention
100111,12,13,155579.32,2,4,4,10,244,Potential
100112,13,9,106155.93,2,2,2,6,222,At Risk
100113,9,8,120840.53,2,1,2,5,212,At Risk
100114,14,11,139759.36,1,3,3,7,133,Needs Attention
100115,9,12,140405.94999999998,2,3,3,8,233,Needs Attention
100116,2,5,61895.48,5,1,1,7,511,Needs Attention
100117,33,4,48039.76,1,1,1,3,111,At Risk
100118,7,10,118140.07,3,2,2,7,322,Needs Attention
100119,11,7,84977.23,2,1,1,4,211,At Risk
100120,10,14,126998.32,2,4,3,9,243,Potential
100121,2,17,227506.94,5,5,5,15,555,Champions
100122,13,12,160666.03,2,3,4,9,234,Potential
100123,17,4,56688.79,1,1,1,3,111,At Risk
100124,7,9,93329.01,3,2,1,6,321,At Risk
100125,2,19,224675.19,5,5,5,15,555,Champions
100126,2,8,80869.45,5,1,1,7,511,Needs Attention
100127,3,10,133851.0,4,2,3,9,423,Potential
100128,11,6,54881.05,2,1,1,4,211,At Risk
100129,2,9,62631.69,5,2,1,8,521,Needs Attention
100130,4,7,104863.99,4,1,2,7,412,Needs Attention
100131,1,16,179727.08,5,5,5,15,555,Champions
100132,16,9,120324.57,1,2,2,5,122,At Risk
100133,3,14,191351.03,4,4,5,13,445,Champions
100134,8,12,167089.22,3,3,4,10,334,Potential
100135,4,8,86587.97,4,1,1,6,411,At Risk
100136,11,15,166434.58,2,5,4,11,254,Loyal
100137,5,14,173993.0,4,4,4,12,444,Loyal
100138,2,15,141648.2,5,5,3,13,553,Champions
100139,14,8,109824.73,1,1,2,4,112,At Risk
100140,12,12,109611.22,2,3,2,7,232,Needs Attention
100141,4,8,102034.77,4,1,2,7,412,Needs Attention
100142,2,3,13023.43,5,1,1,7,511,Needs Attention
100143,15,9,85570.23999999999,1,2,1,4,121,At Risk
100144,4,9,101201.77,4,2,2,8,422,Needs Attention
100145,21,14,144652.66999999998,1,4,3,8,143,Needs Attention
100146,8,8,58909.07,3,1,1,5,311,At Risk
100147,7,12,174336.27,3,3,4,10,334,Potential
100148,7,10,145004.16,3,2,3,8,323,Needs Attention
100149,13,10,142344.09,2,2,3,7,223,Needs Attention
100150,19,11,127488.66,1,3,3,7,133,Needs Attention
100151,1,10,114439.78,5,2,2,9,522,Potential
100152,20,13,212242.75,1,4,5,10,145,Potential
100153,15,13,176354.71000000002,1,4,5,10,145,Potential
100154,7,13,157306.08000000002,3,4,4,11,344,Loyal
100155,27,10,94671.15,1,2,1,4,121,At Risk
100156,7,10,106958.87,3,2,2,7,322,Needs Attention
100157,11,11,136866.14,2,3,3,8,233,Needs Attention
100158,14,11,107180.3,1,3,2,6,132,At Risk
100159,10,14,170376.84,2,4,4,10,244,Potential
100160,3,15,197194.98,4,5,5,14,455,Champions
100161,3,15,200651.09,4,5,5,14,455,Champions
100162,9,10,155707.46,2,2,4,8,224,Needs Attention
100163,4,13,150115.74,4,4,4,12,444,Loyal
100164,6,11,98169.54,3,3,2,8,332,Needs Attention
100165,35,13,176966.82,1,4,5,10,145,Potential
100166,1,14,164955.96,5,4,4,13,544,Champions
100167,6,11,148752.96,3,3,4,10,334,Potential
100168,7,14,156605.2,3,4,4,11,344,Loyal
100169,4,14,154501.38,4,4,4,12,444,Loyal
100170,3,15,154903.22,4,5,4,13,454,Champions
100171,13,9,97355.9,2,2,2,6,222,At Risk
100172,7,13,159597.74,3,4,4,11,344,Loyal
100173,2,13,179145.07,5,4,5,14,545,Champions
100174,1,14,143287.45,5,4,3,12,543,Loyal
100175,10,9,105917.1,2,2,2,6,222,At Risk
100176,8,9,89859.56,3,2,1,6,321,At Risk
100177,1,17,160033.63999999998,5,5,4,14,554,Champions
100178,6,14,166798.78,3,4,4,11,344,Loyal
100179,2,12,153059.35,5,3,4,12,534,Loyal
100180,32,7,99035.19,1,1,2,4,112,At Risk
100181,3,13,135268.44,4,4,3,11,443,Loyal
100182,4,14,178913.98,4,4,5,13,445,Champions
100183,15,9,109347.17,1,2,2,5,122,At Risk
100184,2,19,200387.73,5,5,5,15,555,Champions
100185,4,14,179487.93,4,4,5,13,445,Champions
100186,16,10,134743.82,1,2,3,6,123,At Risk
100187,4,13,158556.15,4,4,4,12,444,Loyal
100188,6,11,124192.26,3,3,3,9,333,Potential
100189,5,15,165601.07,4,5,4,13,454,Champions
100190,6,12,142757.68,3,3,3,9,333,Potential
100191,1,11,110371.21,5,3,2,10,532,Potential
100192,8,12,153289.01,3,3,4,10,334,Potential
100193,5,12,127041.87,4,3,3,10,433,Potential
