CustomerID,Transaction_Count,Total_Spent,Avg_Amount,Std_Amount,Min_Amount,Max_Amount,Fraud_Count,Fraud_Rate,Customer_Value
100000,6,95882.51,15980.42,8110.22,62.2,21805.2,4,0.6667,Low
100001,17,170195.53,10011.5,7116.08,1210.76,23094.27,8,0.4706,VIP
100002,11,119777.65,10888.88,4690.82,4130.94,20424.89,5,0.4545,Medium
100003,21,233936.43,11139.83,5415.9,456.21,21648.85,10,0.4762,VIP
100004,11,104399.69,9490.88,5668.36,2333.22,20713.14,6,0.5455,Medium
100005,15,187130.61,12475.37,8076.95,1155.73,22767.13,5,0.3333,VIP
100006,10,116271.2,11627.12,7948.0,378.59,23764.71,8,0.8,Medium
100007,8,92703.87,11587.98,7380.25,1587.81,23287.11,4,0.5,Low
100008,9,115638.47,12848.72,7970.0,2763.03,22698.71,5,0.5556,Medium
100009,12,154786.37,12898.86,6394.15,2195.23,23185.08,5,0.4167,High
100010,20,242399.6,12119.98,8109.82,732.94,23932.12,11,0.55,VIP
100011,10,142808.2,14280.82,7104.88,5465.1,23293.84,6,0.6,High
100012,6,49698.15,8283.02,7304.21,2212.03,20525.57,3,0.5,Low
100013,11,97333.75,8848.52,6133.96,1514.15,18949.1,4,0.3636,Low
100014,18,197810.23,10989.46,4710.25,468.91,18404.8,8,0.4444,VIP
100015,15,187733.89,12515.59,7093.97,1336.72,21078.4,9,0.6,VIP
100016,10,114330.35,11433.04,7669.11,251.62,19076.91,3,0.3,Medium
100017,9,106187.88,11798.65,6619.72,1862.09,21653.62,5,0.5556,Medium
100018,8,81064.16,10133.02,8656.7,2271.7,23415.8,5,0.625,Low
100019,13,172825.77,13294.29,6561.12,1433.86,23788.74,7,0.5385,VIP
100020,13,198221.44,15247.8,6523.32,5184.12,23652.04,4,0.3077,VIP
100021,13,123587.84,9506.76,6318.79,826.56,18487.82,7,0.5385,Medium
100022,11,92760.56,8432.78,6578.13,214.82,19886.99,5,0.4545,Low
100023,11,129080.51,11734.59,6668.61,3084.68,22306.48,9,0.8182,Medium
100024,9,96533.69,10725.97,6228.41,1900.12,19155.47,5,0.5556,Low
100025,11,102689.32,9335.39,6632.51,238.77,21941.48,4,0.3636,Low
100026,11,161937.97,14721.63,7167.86,1715.72,23142.66,7,0.6364,High
100027,6,70229.85,11704.98,4522.21,5238.04,17352.26,3,0.5,Low
100028,17,212816.68,12518.63,7064.81,640.08,22159.38,10,0.5882,VIP
100029,11,118976.02,10816.0,7697.93,62.92,22804.38,4,0.3636,Medium
100030,13,183336.07,14102.77,7350.56,858.98,23780.11,5,0.3846,VIP
100031,9,133797.75,14866.42,5880.6,2857.8,22878.89,5,0.5556,Medium
100032,9,89004.16,9889.35,7214.83,1093.35,21159.07,2,0.2222,Low
100033,7,91380.07,13054.3,5980.49,4536.81,19126.81,5,0.7143,Low
100034,10,143222.82,14322.28,5664.1,5589.27,22149.78,8,0.8,High
100035,12,156592.54,13049.38,6164.65,4922.56,23711.35,9,0.75,High
100036,12,130680.34,10890.03,6252.1,690.35,21248.48,6,0.5,Medium
100037,15,160723.05,10714.87,5072.94,436.77,19069.0,4,0.2667,High
100038,12,141621.25,11801.77,7758.33,790.6,23248.81,5,0.4167,High
100039,8,87707.47,10963.43,6425.06,2738.16,22961.47,5,0.625,Low
100040,18,209818.11,11656.56,6533.01,1494.49,22272.87,10,0.5556,VIP
100041,13,153008.94,11769.92,7450.78,111.19,22218.13,10,0.7692,High
100042,12,128773.53,10731.13,8175.05,961.01,23412.47,5,0.4167,Medium
100043,13,159602.05,12277.08,8205.39,1039.83,23383.07,5,0.3846,High
100044,7,73498.39,10499.77,5708.68,2320.43,20490.8,4,0.5714,Low
100045,14,178023.17,12715.94,7952.32,229.08,23473.79,6,0.4286,VIP
100046,10,151289.34,15128.93,6010.4,2745.84,19995.07,2,0.2,High
100047,10,138111.98,13811.2,5996.92,2352.64,20292.44,4,0.4,High
100048,12,194949.04,16245.75,7740.94,423.51,23736.82,4,0.3333,VIP
100049,11,157922.94,14356.63,7194.72,667.71,23797.42,7,0.6364,High
100050,8,105628.49,13203.56,8238.56,236.5,23950.88,5,0.625,Medium
100051,12,109141.98,9095.17,6535.22,1253.13,23445.44,5,0.4167,Medium
100052,12,136715.27,11392.94,8018.74,2067.9,23830.8,4,0.3333,High
