TransactionDate,Daily_Amount,Daily_Count,Avg_Amount,Fraud_Count,Fraud_Rate,Day
2024-01-01,76030241.85,6296,12075.95963310038,3168,0.5031766200762389,2024-01-01
2024-01-02,77204670.19,6329,12198.557464054353,3217,0.5082951493126876,2024-01-02
2024-01-03,74409404.46,6221,11961.003771097894,3049,0.4901141295611638,2024-01-03
2024-01-04,78845245.68,6504,12122.577749077493,3171,0.4875461254612546,2024-01-04
2024-01-05,74176821.74,6270,11830.434089314194,3139,0.5006379585326953,2024-01-05
2024-01-06,77143719.41,6388,12076.349312773951,3221,0.5042266750156543,2024-01-06
2024-01-07,76100903.03,6368,11950.518691896985,3178,0.49905778894472363,2024-01-07
2024-01-08,75903152.92,6235,12173.721398556536,3064,0.49141940657578187,2024-01-08
2024-01-09,74074813.65,6251,11850.07417213246,3078,0.49240121580547114,2024-01-09
2024-01-10,75792638.3,6323,11986.816115767831,3130,0.49501818756919186,2024-01-10
2024-01-11,77544117.08,6428,12063.49052271313,3195,0.49704418170504044,2024-01-11
2024-01-12,75001945.85,6222,12054.314665702346,3055,0.4909996785599486,2024-01-12
2024-01-13,76328285.15,6321,12075.349651953806,3119,0.4934345831355798,2024-01-13
2024-01-14,76304367.36,6309,12094.526447931526,3108,0.4926295767950547,2024-01-14
2024-01-15,75894014.8,6316,12016.151804939835,3149,0.49857504749841675,2024-01-15
2024-01-16,76070190.49,6367,11947.571931836028,3115,0.489241400973771,2024-01-16
2024-01-17,76312024.28,6394,11934.942802627464,3229,0.5050046918986549,2024-01-17
2024-01-18,77330629.63,6386,12109.400192608831,3200,0.5010961478233636,2024-01-18
2024-01-19,77323823.42,6388,12104.543428303068,3140,0.4915466499686913,2024-01-19
2024-01-20,75402570.58,6307,11955.378243221816,3199,0.5072142064372919,2024-01-20
2024-01-21,79153862.3,6502,12173.771501076591,3221,0.4953860350661335,2024-01-21
2024-01-22,73605359.49,6105,12056.56994103194,3120,0.5110565110565111,2024-01-22
2024-01-23,73933779.05,6104,12112.349123525557,3062,0.5016382699868939,2024-01-23
2024-01-24,73586876.99,6172,11922.69555897602,3115,0.5046986390149061,2024-01-24
2024-01-25,75133891.3,6273,11977.345974812688,3116,0.49673202614379086,2024-01-25
2024-01-26,75452601.26,6311,11955.728293455872,3174,0.5029313896371415,2024-01-26
2024-01-27,76778546.46,6339,12112.09125414103,3198,0.5044959772834832,2024-01-27
2024-01-28,75508998.97,6289,12006.519155668628,3210,0.5104150103355064,2024-01-28
2024-01-29,75921575.37,6293,12064.448652471001,3142,0.49928491975210554,2024-01-29
2024-01-30,75821308.82,6310,12016.055280507131,3186,0.5049128367670365,2024-01-30
2024-01-31,75527611.46,6229,12125.158365708781,3066,0.4922138384973511,2024-01-31
2024-02-01,74319559.29,6201,11985.092612481858,3132,0.5050798258345428,2024-02-01
2024-02-02,76774227.08,6326,12136.298937717356,3169,0.5009484666455897,2024-02-02
2024-02-03,77311222.59,6321,12230.853122923589,3139,0.4965986394557823,2024-02-03
2024-02-04,75723434.66,6258,12100.2612112496,3106,0.49632470437839565,2024-02-04
2024-02-05,75865812.88,6277,12086.317170622908,3106,0.4948223673729489,2024-02-05
2024-02-06,76749465.96,6396,11999.603808630392,3189,0.49859287054409007,2024-02-06
