Feature,Correlation_with_Fraud,Abs_Correlation
V14,-0.8056692033482026,0.8056692033482026
V12,-0.7685793328121598,0.7685793328121598
V4,0.7359808565710069,0.7359808565710069
V11,0.7242781571398208,0.7242781571398208
V3,-0.6820954647464762,0.6820954647464762
V10,-0.6736650416630307,0.6736650416630307
V9,-0.5855216713180174,0.5855216713180174
V16,-0.5735112908795604,0.5735112908795604
V1,-0.5057610150941801,0.5057610150941801
V2,0.49187802825783977,0.49187802825783977
V7,-0.49123416156803534,0.49123416156803534
V17,-0.47637650032081896,0.47637650032081896
V6,-0.43508823958895226,0.43508823958895226
V18,-0.4100909344080959,0.4100909344080959
V5,-0.33863896233138,0.33863896233138
V19,0.24408145790405758,0.24408145790405758
V27,0.2140019431352929,0.2140019431352929
V20,0.17985104660648885,0.17985104660648885
V8,0.144293826946375,0.144293826946375
V24,-0.13010656532794687,0.13010656532794687
V21,0.10964021915687588,0.10964021915687588
V28,0.10202373369321571,0.10202373369321571
V13,-0.0711051433546417,0.0711051433546417
V26,0.07105198071170515,0.07105198071170515
V25,0.0618469579374321,0.0618469579374321
V15,-0.03794815510499643,0.03794815510499643
V22,0.014097879209650303,0.014097879209650303
V23,0.01025458792771805,0.01025458792771805
