Hour,Hourly_Amount,Hourly_Count,Avg_Amount,Fraud_Count,Fraud_Rate
0,284765732.55,23760,11985.089753787879,11866,0.4994107744107744
1,285962450.44,23749,12041.031219840836,11755,0.49496820918775525
2,286451360.83,23749,12061.617787275252,11919,0.501873763105815
3,287649437.77,23877,12047.134806298947,11854,0.49646102944255976
4,283335122.22,23500,12056.813711489363,11632,0.4949787234042553
5,285510324.19,23638,12078.446746340638,11838,0.5008037905068111
6,283510351.97,23553,12037.122743174968,11691,0.49636988918609093
7,285088447.5,23630,12064.682501057978,11808,0.4997037663986458
8,284670746.94,23611,12056.700137224176,11935,0.505484731692855
9,284379454.86,23623,12038.244713203234,11877,0.5027727215002328
10,287880623.55,23879,12055.807343272332,11953,0.5005653503078018
11,281985780.98,23428,12036.272024073758,11868,0.5065733310568551
12,283458868.27,23631,11995.212571198848,11764,0.4978206593034573
13,282900001.5,23523,12026.52729243719,11808,0.5019767886749139
14,280426696.22,23461,11952.887610076297,11778,0.5020246366310046
15,289975073.89,24077,12043.654686630394,11987,0.4978610291979898
16,286379038.31,23799,12033.238300348754,11781,0.49502079919324343
17,283764211.8,23498,12076.100595795388,11716,0.49859562515958805
18,286569252.85,23770,12055.921449305848,11887,0.5000841396718553
19,286378326.51,23786,12039.785021020769,12035,0.5059698982594804
20,287478195.3,23961,11997.754488543884,11946,0.4985601602604232
21,288743144.73,23837,12113.233407307967,11972,0.5022444099509167
22,284604118.94,23629,12044.695879639426,11715,0.4957890727495874
23,285551607.63,23661,12068.450514771142,11930,0.5042052322387051
