CustomerID,Recency,Frequency,Monetary
100000,6,6,95882.51000000001
100001,1,17,170195.53
100002,7,11,119777.65
100003,1,21,233936.43
100004,20,11,104399.69
100005,16,15,187130.61000000002
100006,8,10,116271.2
100007,17,8,92703.87
100008,7,9,115638.47
100009,12,12,154786.37
100010,1,20,242399.6
100011,2,10,142808.2
100012,1,6,49698.15
100013,21,11,97333.75
100014,5,18,197810.22999999998
100015,5,15,187733.89
100016,3,10,114330.35
100017,7,9,106187.88
100018,24,8,81064.16
100019,3,13,172825.77000000002
100020,6,13,198221.44
100021,3,13,123587.84
100022,2,11,92760.56
100023,5,11,129080.51
100024,28,9,96533.69
100025,3,11,102689.32
100026,1,11,161937.97
100027,8,6,70229.85
100028,3,17,212816.68
100029,1,11,118976.02
100030,27,13,183336.07
100031,15,9,133797.75
100032,4,9,89004.16
100033,2,7,91380.07
100034,1,10,143222.82
100035,24,12,156592.54
100036,2,12,130680.34
100037,6,15,160723.05
100038,21,12,141621.25
100039,11,8,87707.47
100040,6,18,209818.11000000002
100041,9,13,153008.94
100042,19,12,128773.53
100043,2,13,159602.05
100044,36,7,73498.39
100045,4,14,178023.17
100046,19,10,151289.34
100047,36,10,138111.98
100048,3,12,194949.04
100049,4,11,157922.94
100050,20,8,105628.49
100051,3,12,109141.98000000001
100052,5,12,136715.27
100053,22,8,68794.26000000001
100054,10,6,86698.66
100055,3,15,196832.35
100056,4,12,159077.09
100057,8,5,68926.32
100058,13,10,106959.33
100059,2,14,166267.09
100060,10,10,111349.31
100061,4,16,209761.61
100062,8,9,112318.66
100063,1,14,146899.47
100064,2,7,49301.12
100065,7,11,145866.53
100066,20,17,145294.55000000002
100067,7,12,136878.99
100068,4,15,149342.3
100069,7,21,243419.86
100070,26,9,110869.51999999999
100071,4,16,209799.58000000002
100072,26,6,62003.7
100073,8,12,180271.0
100074,3,10,89866.76
100075,18,12,121562.92
100076,1,12,132003.13
100077,4,10,148929.65
100078,5,13,210462.15
100079,8,12,177221.33000000002
100080,27,10,150190.41
100081,5,7,64711.4
100082,30,12,85959.51
100083,4,6,66654.87
100084,16,17,154516.35
100085,2,10,140629.45
100086,20,7,97347.21
100087,15,6,81127.09
100088,9,8,125764.90000000001
100089,1,18,253617.49
100090,18,12,164793.23
100091,9,12,119692.25
100092,10,10,150848.23
100093,1,9,115639.8
100094,14,11,166591.07
100095,8,13,160083.13
100096,10,10,144276.53
100097,1,11,137984.44
100098,11,10,143726.07
100099,2,10,121480.65
100100,3,12,134514.01
100101,27,6,97841.67
100102,1,7,63432.369999999995
100103,11,9,105005.45999999999
100104,1,19,271728.01
100105,1,14,174447.81
100106,11,13,138878.56
100107,1,13,173118.16999999998
100108,13,12,206703.94
100109,3,19,241533.11
100110,9,10,133279.04
100111,12,13,155579.32
100112,13,9,106155.93
100113,9,8,120840.53
100114,14,11,139759.36
100115,9,12,140405.94999999998
100116,2,5,61895.48
100117,33,4,48039.76
100118,7,10,118140.07
100119,11,7,84977.23
100120,10,14,126998.31999999999
100121,2,17,227506.94
100122,13,12,160666.03
100123,17,4,56688.79
100124,7,9,93329.01000000001
100125,2,19,224675.19
100126,2,8,80869.45
100127,3,10,133851.0
100128,11,6,54881.05
100129,2,9,62631.69
100130,4,7,104863.99
100131,1,16,179727.08
100132,16,9,120324.57
100133,3,14,191351.03
100134,8,12,167089.22
100135,4,8,86587.97
100136,11,15,166434.58
100137,5,14,173993.0
100138,2,15,141648.2
100139,14,8,109824.73
100140,12,12,109611.22
100141,4,8,102034.77
100142,2,3,13023.43
100143,15,9,85570.23999999999
100144,4,9,101201.77
100145,21,14,144652.66999999998
100146,8,8,58909.07
100147,7,12,174336.27
100148,7,10,145004.16
100149,13,10,142344.09
100150,19,11,127488.66
100151,1,10,114439.78
100152,20,13,212242.75
100153,15,13,176354.71000000002
100154,7,13,157306.08000000002
100155,27,10,94671.15
100156,7,10,106958.87
100157,11,11,136866.14
100158,14,11,107180.3
100159,10,14,170376.84
100160,3,15,197194.97999999998
100161,3,15,200651.09
100162,9,10,155707.46
100163,4,13,150115.74
100164,6,11,98169.54
100165,35,13,176966.82
100166,1,14,164955.96
100167,6,11,148752.96
100168,7,14,156605.2
100169,4,14,154501.38
100170,3,15,154903.22
100171,13,9,97355.9
100172,7,13,159597.74
100173,2,13,179145.07
100174,1,14,143287.45
100175,10,9,105917.1
100176,8,9,89859.56
100177,1,17,160033.63999999998
100178,6,14,166798.78
100179,2,12,153059.35
100180,32,7,99035.19
100181,3,13,135268.44
100182,4,14,178913.98
100183,15,9,109347.17
100184,2,19,200387.73
100185,4,14,179487.93
100186,16,10,134743.82
100187,4,13,158556.15
100188,6,11,124192.26
100189,5,15,165601.07
100190,6,12,142757.68
100191,1,11,110371.21
100192,8,12,153289.01
100193,5,12,127041.87
100194,5,8,117072.81999999999
100195,5,6,88455.14
100196,21,16,184224.0
100197,4,12,158990.09
100198,16,8,111069.47
100199,19,11,115695.23
100200,9,14,162430.3
100201,4,11,90224.51
100202,3,13,166458.14
100203,2,17,205411.46
100204,4,8,126962.17
100205,1,13,137088.33000000002
100206,1,13,170090.4
100207,1,15,171013.02
100208,4,14,189602.38
100209,2,13,187223.41999999998
100210,5,10,103168.63
100211,2,15,218130.89
100212,5,9,89120.83
100213,17,9,138390.58000000002
100214,2,17,220317.96
100215,7,11,188107.7
100216,11,13,110018.86
100217,2,12,155673.53
100218,7,12,155922.66999999998
100219,6,15,206223.33000000002
100220,1,9,116524.95
100221,5,7,119899.06999999999
100222,7,12,165372.14
100223,4,11,148684.26
100224,9,9,115108.99
100225,11,9,91421.46
100226,30,8,94252.76999999999
100227,7,17,174604.29
100228,2,12,134162.91999999998
100229,3,10,109099.56
100230,7,10,160435.68
100231,5,15,254629.92
100232,1,11,119671.96
100233,2,18,237292.1
100234,19,12,155637.94
100235,1,21,245021.31
100236,14,15,224529.33000000002
100237,8,7,112872.29000000001
100238,15,11,169373.65
100239,12,12,117993.55
100240,20,9,85553.65
100241,16,13,169079.53
100242,4,14,185046.54
100243,1,18,287498.5
100244,19,8,95080.14
100245,3,7,97157.94
100246,4,10,108631.09
100247,18,7,89485.62
100248,12,7,96621.57
100249,10,18,186988.36
100250,39,5,35591.35
100251,3,11,139307.76
100252,6,14,171872.65
100253,3,6,72462.3
100254,16,13,189714.44
100255,14,7,52018.2
100256,3,7,107930.0
100257,1,14,154915.27
100258,9,14,172222.05000000002
100259,14,10,100000.58
100260,8,13,179906.99
100261,9,5,83012.62
100262,10,14,135092.29
100263,2,17,235871.28
100264,4,10,136940.41
100265,2,10,133555.79
100266,2,14,168490.96
100267,4,10,125241.03
100268,1,12,124220.23
100269,1,17,202226.04
100270,16,6,67160.31999999999
100271,32,10,124353.01
100272,8,9,109143.52
100273,11,11,121956.06999999999
100274,15,6,66028.2
100275,5,11,132995.57
100276,16,8,87027.17
100277,1,13,133432.51
100278,7,15,182996.03
100279,14,14,177888.05
100280,12,8,91642.91
100281,2,14,118334.7
100282,9,9,114034.94
100283,25,14,165953.7
100284,2,17,164502.15
100285,15,9,126386.08
100286,3,10,123568.65
100287,7,12,113009.54000000001
100288,25,6,75749.96
100289,11,7,67941.55
100290,21,7,100040.14
100291,4,9,148091.27
100292,13,13,144103.03
100293,4,14,182910.71
100294,8,17,226975.46
100295,2,11,164007.33000000002
100296,1,15,164988.49
100297,17,5,68537.2
100298,1,11,104760.03
100299,13,9,116818.74
100300,8,11,110508.2
100301,4,13,162284.14
100302,17,9,128107.44
100303,8,13,158334.66
100304,4,11,59153.91
100305,25,9,126762.83
100306,9,13,187086.6
100307,13,6,106365.20000000001
100308,13,8,99940.34
100309,5,7,94387.64
100310,3,11,98120.59
100311,21,9,105219.28
100312,1,15,162467.63
100313,2,9,130549.16
100314,2,11,148493.29
100315,5,11,158791.16999999998
100316,7,8,85951.58
100317,1,9,98317.87
100318,2,11,114011.37
100319,17,8,68577.97
100320,4,9,81510.14
100321,6,8,109932.73
100322,9,12,161892.51
100323,2,13,182007.77
100324,17,9,92048.96
100325,16,14,150807.33
100326,15,9,124442.48
100327,1,9,150516.88
100328,5,9,131449.54
100329,2,13,137674.3
100330,4,14,172729.97999999998
100331,18,9,119927.87
100332,1,8,104801.83
100333,48,4,40244.47
100334,2,17,221206.91
100335,9,6,79122.01999999999
100336,12,10,94210.54
100337,3,16,184664.27
100338,9,10,78157.59
100339,10,15,213990.82
100340,3,19,249302.52
100341,2,15,178001.11
100342,13,12,132525.75
100343,2,11,149587.07
100344,4,13,153556.85
100345,2,12,137689.09
100346,10,13,151726.86000000002
100347,16,10,125053.38
100348,1,11,130293.17
100349,13,8,69259.6
100350,3,11,119155.2
100351,13,14,142747.22
100352,3,22,269411.4
100353,4,15,196651.3
100354,4,6,60726.3
100355,3,8,95646.1
100356,9,10,134241.89
100357,2,8,76482.31
100358,2,10,147922.82
100359,7,11,119052.22
100360,3,11,125417.67
100361,5,14,241979.75
100362,1,9,75954.12
100363,13,4,49576.159999999996
100364,11,10,92264.38
100365,2,13,138764.22
100366,17,9,95231.01999999999
100367,4,15,169972.88999999998
100368,3,25,373735.17
100369,7,6,52597.24
100370,16,6,96565.47
100371,7,7,96729.87
100372,9,12,169155.35
100373,6,15,151041.82
100374,49,6,62431.64
100375,1,18,202774.1
100376,7,16,193738.62
100377,57,6,65066.25
100378,12,7,81746.20999999999
100379,32,11,141487.62
100380,15,7,105082.53
100381,18,10,128793.28
100382,17,11,136946.11000000002
100383,1,12,139919.35
100384,4,14,179531.16
100385,14,15,161944.22999999998
100386,12,18,191898.41999999998
100387,1,17,214190.29
100388,7,12,146724.33000000002
100389,7,12,154576.83
100390,13,11,137590.03
100391,8,9,148354.66999999998
100392,20,14,172070.79
100393,10,11,137529.15
100394,10,10,130466.89
100395,1,10,138045.96
100396,9,6,86526.76999999999
100397,1,11,87202.55
100398,12,14,224569.95
100399,24,7,101112.04000000001
100400,2,8,99491.44
100401,10,8,112242.88
100402,8,9,70145.32
100403,32,9,137172.83
100404,14,5,62181.94
100405,17,14,136690.22
100406,3,11,122970.26000000001
