Feature,Mean,Std,Min,Max,Skewness,Kurtosis,Variance
V1,-0.0,1.0,-3.4956,2.229,-0.0834,-0.1955,1.0
V2,-0.0,1.0,-49.9666,4.3619,-1.398,54.5065,1.0
V3,-0.0,1.0,-3.1838,14.1258,0.0146,0.2887,1.0
V4,-0.0,1.0,-4.9512,3.2015,-0.0442,-0.1034,1.0
V5,0.0,1.0,-9.9528,42.7169,1.5064,47.0994,1.0
V6,-0.0,1.0,-21.1111,26.1684,-0.2016,4.4905,1.0
V7,-0.0,1.0,-4.3518,217.873,19.0269,4017.6082,1.0
V8,0.0,1.0,-10.7563,5.958,0.3,18.9392,1.0
V9,0.0,1.0,-3.7519,20.2701,0.1711,3.6393,1.0
V10,0.0,1.0,-3.1633,31.7227,0.7404,13.1648,1.0
V11,-0.0,1.0,-5.9547,2.5136,-0.0209,-0.3749,1.0
V12,-0.0,1.0,-2.0204,17.9136,0.0668,-0.2138,1.0
V13,-0.0,1.0,-5.9552,7.1875,0.0149,-0.0078,1.0
V14,-0.0,1.0,-2.1074,19.1695,0.2078,0.8995,1.0
V15,0.0,1.0,-3.8618,14.5322,0.0112,0.4022,1.0
V16,-0.0,1.0,-2.2145,46.6529,0.2664,8.6586,1.0
V17,-0.0,1.0,-2.4849,6.9941,0.3731,2.7343,1.0
V18,-0.0,1.0,-2.4219,6.7837,0.1292,0.8814,1.0
V19,0.0,1.0,-7.805,3.8317,-0.0102,0.7482,1.0
V20,-0.0,1.0,-78.1478,29.8728,-1.5565,129.5198,1.0
V21,0.0,1.0,-19.3825,8.0871,-0.109,55.4424,1.0
V22,0.0,1.0,-7.7348,12.6325,0.3185,23.2607,1.0
V23,0.0,1.0,-30.2955,31.7076,-0.0997,64.7548,1.0
V24,-0.0,1.0,-4.068,12.9656,0.0661,1.3248,1.0
V25,-0.0,1.0,-13.6126,14.6215,0.023,3.2438,1.0
V26,-0.0,1.0,-8.227,5.6233,-0.019,0.4636,1.0
V27,-0.0,1.0,-10.4986,113.2311,2.7555,301.0011,1.0
V28,0.0,1.0,-39.0352,77.2559,1.725,162.1155,1.0
